"","checking_status0<=X<200","checking_status>=200","checking_statusno checking","duration","credit_historyall paid","credit_historyexisting paid","credit_historydelayed previously","credit_historycritical/other existing credit","purposeused car","purposefurniture/equipment","purposeradio/tv","purposeeducation","purposebusiness","purposeother","log_credit_amount","savings_status100<=X<500","savings_status500<=X<1000","savings_status>=1000","savings_statusno known savings","employment<1","employment1<=X<4","employment4<=X<7","employment>=7","installment_commitment","personal_statusfemale div/dep/mar","personal_statusmale single","personal_statusmale mar/wid","other_partiesco applicant","other_partiesguarantor","residence_since","property_magnitudelife insurance","property_magnitudecar","property_magnitudeno known property","age","other_payment_plansstores","other_payment_plansnone","housingown","housingfor free","existing_credits","jobunskilled resident","jobskilled","jobhigh qualif/self emp/mgmt","num_dependents","own_telephoneyes"
"138",1,0,0,0.117647058823529,0,1,0,0,0,0,1,0,0,0,0.213093418871643,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0.125,0,0,1,0,0,1,0,0,0,0
"139",0,0,0,0.117647058823529,0,1,0,0,0,0,0,1,0,0,0.364798766610956,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0.0714285714285714,0,0,0,0,0,0,1,0,0,1
"140",0,0,1,0.117647058823529,0,1,0,0,0,0,1,0,0,0,0.241763300727778,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.333333333333333,0,0,0,0.196428571428571,0,0,1,0,0.333333333333333,0,1,0,0,0
"142",0,0,1,0.161764705882353,0,1,0,0,1,0,0,0,0,0,0.680162985450233,0,0,0,0,0,1,0,0,0.666666666666667,0,1,0,0,0,0.333333333333333,0,1,0,0.196428571428571,0,1,1,0,0,0,1,0,0,1
"143",0,0,1,0.470588235294118,0,0,0,0,0,0,0,0,0,1,0.54577242838077,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.333333333333333,0,1,0,0.142857142857143,0,1,1,0,0.333333333333333,0,1,0,0,0
"145",0,0,0,0.117647058823529,0,1,0,0,0,1,0,0,0,0,0.802036786875789,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0.607142857142857,0,1,0,1,0,0,0,1,0,1
"146",0,0,1,0.0735294117647059,0,1,0,0,0,0,1,0,0,0,0.413257082934183,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.333333333333333,0,1,0,0.0535714285714286,0,1,1,0,0,0,1,0,0,0
"147",0,0,0,0.0882352941176471,0,0,0,1,0,0,0,0,0,0,0.510056467858121,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.666666666666667,0,0,0,0.517857142857143,0,1,0,0,0.333333333333333,1,0,0,1,0
"148",0,0,0,0.294117647058824,0,1,0,0,0,1,0,0,0,0,0.589165030537443,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0.0535714285714286,0,0,0,1,0,0,1,0,0,0
"149",0,1,0,0.470588235294118,0,1,0,0,0,0,1,0,0,0,0.656695537932846,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.333333333333333,0,1,0,0.125,0,1,1,0,0,0,1,0,0,0
"150",0,0,1,0.0735294117647059,0,1,0,0,0,0,0,0,0,0,0.536141576491575,0,1,0,0,0,0,0,1,0.333333333333333,0,1,0,0,0,1,0,0,1,0.571428571428571,0,1,0,1,0,1,0,0,0,0
"151",0,0,1,0.117647058823529,0,1,0,0,0,0,1,0,0,0,0.49944025118476,1,0,0,0,0,0,1,0,0.666666666666667,0,1,0,0,0,0,0,0,1,0.285714285714286,0,1,1,0,0,0,1,0,0,0
"152",1,0,0,0.205882352941176,0,1,0,0,0,0,1,0,0,0,0.288939270754095,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0.333333333333333,0,0,0,0.107142857142857,0,1,1,0,0,1,0,0,0,0
"153",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.42341688574029,0,0,0,0,0,0,1,0,0.333333333333333,0,1,0,0,0,0,0,0,0,0.410714285714286,0,1,1,0,0.666666666666667,1,0,0,1,0
"154",0,0,0,0.294117647058824,0,1,0,0,0,0,1,0,0,0,0.462046893327775,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.333333333333333,0,1,0,0.196428571428571,1,0,1,0,0,0,0,1,1,0
"155",1,0,0,0.0294117647058824,0,1,0,0,0,0,0,0,0,0,0.945180835532108,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333333333333333,1,0,0,0.0714285714285714,0,1,1,0,0,0,0,0,0,1
"156",1,0,0,0.25,0,1,0,0,0,0,0,0,1,0,0.559089963219038,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.333333333333333,0,1,0,0.75,0,0,0,0,0.333333333333333,1,0,0,0,0
"158",1,0,0,0.117647058823529,0,0,0,1,1,0,0,0,0,0,0.459610335308883,1,0,0,0,1,0,0,0,0.666666666666667,0,1,0,0,0,1,1,0,0,0.446428571428571,0,1,1,0,0,0,1,0,0,0
"160",0,0,0,0.294117647058824,0,1,0,0,0,0,0,0,0,0,0.301739227872306,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0.333333333333333,0,1,0,0.178571428571429,0,0,1,0,0,0,1,0,0,0
"161",0,0,1,0.0294117647058824,0,1,0,0,0,0,1,0,0,0,0.430974484268638,0,0,0,0,0,0,1,0,0.666666666666667,0,1,0,0,0,0.333333333333333,1,0,0,0.571428571428571,0,1,1,0,0,0,1,0,1,0
"162",0,0,0,0.647058823529412,0,0,0,0,1,0,0,0,0,0,0.67755160667878,0,0,0,0,0,0,0,1,0.666666666666667,0,1,0,0,0,1,0,0,1,0.0892857142857143,0,1,0,1,0.333333333333333,0,1,0,1,0
"163",0,0,1,0.117647058823529,0,0,0,1,0,0,0,0,1,0,0.361873433403428,0,0,0,0,0,1,0,0,0.666666666666667,1,0,0,0,0,0.333333333333333,0,0,0,0.142857142857143,0,1,1,0,0.333333333333333,0,1,0,0,0
"164",0,0,1,0.117647058823529,1,0,0,0,0,0,0,1,0,0,0.610193037016771,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0.666666666666667,0,0,0,0.285714285714286,0,1,1,0,0,1,0,0,1,0
"165",0,0,1,0.294117647058824,0,1,0,0,0,0,0,0,1,0,0.375776014646557,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.107142857142857,0,1,1,0,0,0,1,0,0,1
"166",0,0,1,0.117647058823529,0,0,0,1,0,0,1,0,0,0,0.245029659528549,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0.589285714285714,0,1,1,0,0.666666666666667,0,1,0,0,0
"167",0,0,1,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0.365572680548386,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0.285714285714286,0,0,0,0,0,0,1,0,0,0
"168",0,1,0,0.294117647058824,0,1,0,0,0,1,0,0,0,0,0.474708084908077,0,0,0,0,0,1,0,0,0.333333333333333,0,1,0,0,0,0.333333333333333,0,0,0,0.125,0,1,1,0,0,0,1,0,0,0
"169",0,0,1,0.0882352941176471,0,0,0,1,0,1,0,0,0,0,0.491484897613411,0,0,0,1,0,1,0,0,0.333333333333333,0,0,1,0,0,0,0,1,0,0.125,0,1,1,0,0.333333333333333,0,1,0,0,0
"170",0,0,1,0.205882352941176,0,1,0,0,0,0,1,0,0,0,0.127740322266809,0,0,0,0,0,0,0,0,0.666666666666667,1,0,0,1,0,1,0,0,0,0.0535714285714286,0,1,0,0,0,0,1,0,0,0
"171",0,0,0,0.0294117647058824,0,0,0,1,0,0,0,0,0,0,0.227869879672208,0,0,1,0,0,0,1,0,0.666666666666667,1,0,0,0,0,1,0,0,0,0.357142857142857,0,1,1,0,0.333333333333333,1,0,0,0,1
"172",0,1,0,0.117647058823529,0,1,0,0,0,1,0,0,0,0,0.511091914464361,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.333333333333333,0,1,0,0.482142857142857,0,1,1,0,0,1,0,0,0,0
"173",1,0,0,0.382352941176471,0,1,0,0,0,0,0,0,0,0,0.500415805312667,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.333333333333333,0,0,1,0.0892857142857143,0,0,1,0,0,0,1,0,0,0
"174",0,0,1,0.294117647058824,0,0,1,0,0,1,0,0,0,0,0.653413317565368,1,0,0,0,0,1,0,0,0.333333333333333,0,1,0,0,0,0.666666666666667,1,0,0,0.285714285714286,0,1,1,0,0.333333333333333,0,1,0,0,0
"176",1,0,0,0.823529411764706,0,0,1,0,0,0,1,0,0,0,0.788428936195443,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.142857142857143,0,1,1,0,0,1,0,0,0,0
"177",0,0,1,0.294117647058824,0,0,0,1,0,0,1,0,0,0,0.55200720826792,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.333333333333333,0,0,0,0.285714285714286,0,1,1,0,0.333333333333333,1,0,0,0,0
"178",0,0,0,0.117647058823529,1,0,0,0,0,0,1,0,0,0,0.500307612278113,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.178571428571429,0,1,0,1,0,0,1,0,0,0
"180",0,0,0,0.0294117647058824,0,1,0,0,0,1,0,0,0,0,0.396288594050015,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.333333333333333,0,0,0,0.303571428571429,0,0,1,0,0,1,0,0,0,1
"181",0,0,1,0.102941176470588,0,0,0,1,0,0,1,0,0,0,0.355708567392717,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.678571428571429,0,1,1,0,0.666666666666667,1,0,0,0,0
"182",0,0,0,0.117647058823529,0,1,0,0,0,1,0,0,0,0,0.439843195602734,0,0,0,0,0,1,0,0,0.333333333333333,0,1,0,0,0,0.333333333333333,0,0,0,0.142857142857143,0,1,1,0,0,0,1,0,0,0
"183",0,0,0,0.294117647058824,0,1,0,0,0,0,1,0,0,0,0.432138018520991,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0.642857142857143,0,1,1,0,0,0,1,0,0,0
"184",0,0,0,0.205882352941176,0,0,0,1,0,0,0,0,0,0,0.710329077707738,0,0,0,0,0,0,0,1,0.333333333333333,0,1,0,0,0,1,0,0,1,0.303571428571429,0,1,0,1,0.666666666666667,0,0,1,0,1
"185",0,0,1,0.117647058823529,0,0,0,1,0,0,0,1,0,0,0.5574875425373,0,0,0,0,0,0,0,1,0.333333333333333,1,0,0,0,0,1,0,0,1,0.678571428571429,0,0,0,1,0.666666666666667,1,0,0,0,0
"186",0,0,1,0.0882352941176471,0,0,0,1,0,0,0,0,0,0,0.370730300504479,0,0,0,0,0,0,0,1,0.666666666666667,0,1,0,0,0,1,0,0,0,0.232142857142857,0,1,1,0,0.333333333333333,1,0,0,1,0
"187",1,0,0,0.161764705882353,0,1,0,0,0,0,1,0,0,0,0.271084103355263,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.666666666666667,0,1,0,0.321428571428571,0,1,1,0,0,0,1,0,1,0
"188",0,0,1,0.470588235294118,0,0,0,1,0,0,0,0,1,0,0.750585430484324,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0.303571428571429,0,1,1,0,0.333333333333333,0,1,0,0,0
"189",0,0,1,0.294117647058824,0,1,0,0,0,0,1,0,0,0,0.421754109622482,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0.666666666666667,0,1,0,0.339285714285714,1,0,1,0,0,0,1,0,0,1
"190",0,0,0,0.147058823529412,0,1,0,0,0,0,0,0,0,0,0.832817295786977,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.464285714285714,0,1,1,0,0,0,0,1,0,1
"191",0,0,1,0.0294117647058824,0,0,0,0,0,0,1,0,0,0,0.12394995555811,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0.357142857142857,0,1,1,0,0,1,0,0,0,0
"192",0,0,1,0.294117647058824,0,1,0,0,0,0,1,0,0,0,0.322165219692952,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.333333333333333,0,1,0,0.107142857142857,0,1,1,0,0.333333333333333,0,1,0,0,0
"193",0,0,1,0.205882352941176,0,1,0,0,0,0,0,0,0,0,0.550093115787214,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0.666666666666667,1,0,0,0.232142857142857,0,1,1,0,0,0,1,0,0,0
"194",0,0,1,0.117647058823529,0,0,0,1,0,1,0,0,0,0,0.400980183891461,0,1,0,0,0,0,1,0,0.666666666666667,1,0,0,0,0,1,0,1,0,0.321428571428571,0,1,0,0,0,0,1,0,0,1
"195",1,0,0,0.647058823529412,1,0,0,0,0,0,0,0,0,0,0.903542466640326,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0.303571428571429,0,1,0,1,0,0,0,1,0,1
"196",1,0,0,0.647058823529412,0,1,0,0,0,0,1,0,0,0,0.582497502775892,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0.160714285714286,0,1,1,0,0.333333333333333,0,1,0,0,0
"197",0,0,0,0.382352941176471,0,1,0,0,0,0,0,0,0,1,0.900251319072869,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.267857142857143,0,1,1,0,0,1,0,0,0,1
"198",0,0,1,0.0735294117647059,0,1,0,0,0,0,1,0,0,0,0.553130901963692,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.333333333333333,0,0,0,0.232142857142857,0,1,1,0,0,0,1,0,1,0
"199",0,0,1,0.205882352941176,0,0,0,1,0,0,1,0,0,0,0.5263849939947,0,0,0,0,0,1,0,0,0.333333333333333,1,0,0,0,0,0.333333333333333,0,1,0,0.125,0,1,1,0,0.333333333333333,0,1,0,0,0
"200",0,0,0,0.117647058823529,0,1,0,0,0,1,0,0,0,0,0.376514303912887,0,0,0,1,0,0,0,1,0.333333333333333,0,0,0,0,0,1,1,0,0,0.535714285714286,0,1,1,0,0,1,0,0,0,1
"201",0,0,1,0.0294117647058824,0,1,0,0,0,1,0,0,0,0,0.67785442042414,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0.232142857142857,0,1,1,0,0,0,1,0,0,0
"202",0,1,0,0.117647058823529,1,0,0,0,0,0,1,0,0,0,0.114479100267007,0,0,1,0,0,1,0,0,0.666666666666667,1,0,0,0,0,0.666666666666667,0,0,0,0.410714285714286,0,1,0,0,0.333333333333333,0,1,0,0,0
"203",0,0,1,0.294117647058824,0,1,0,0,0,0,1,0,0,0,0.471790397832409,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0.178571428571429,0,1,0,0,0,0,0,1,0,1
"204",0,0,1,0.161764705882353,0,0,0,1,1,0,0,0,0,0,0.604801067548488,0,0,1,0,0,0,0,1,0.666666666666667,0,1,0,0,0,1,0,0,1,0.0714285714285714,0,1,0,0,0.333333333333333,0,1,0,0,1
"205",0,0,1,0.117647058823529,0,1,0,0,0,1,0,0,0,0,0.427892218011557,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.333333333333333,0,0,0,0.553571428571429,0,1,1,0,0,0,1,0,0,0
"206",0,1,0,0.205882352941176,1,0,0,0,0,0,1,0,0,0,0.408005740775671,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0.535714285714286,0,0,1,0,0,1,0,0,0,0
"207",0,0,1,0.161764705882353,0,0,0,1,0,1,0,0,0,0,0.419773559161314,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0.785714285714286,0,1,1,0,0,0,1,0,0,0
"208",1,0,0,0.294117647058824,0,0,0,1,0,0,0,0,0,0,0.637592264853584,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.333333333333333,0,1,0,0.321428571428571,0,1,1,0,0,0,1,0,0,1
"211",1,0,0,0.647058823529412,0,0,1,0,0,0,0,0,0,1,0.793514471035344,1,0,0,0,0,0,0,0,0.333333333333333,0,1,0,0,0,1,0,0,1,0.214285714285714,0,1,0,1,0,0,0,1,0,1
"212",1,0,0,0.117647058823529,0,1,0,0,0,0,1,0,0,0,0.34286578788975,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0.535714285714286,0,1,1,0,0.333333333333333,0,1,0,0,1
"213",1,0,0,0.0441176470588235,0,1,0,0,0,0,1,0,0,0,0.527446697502655,0,0,0,0,0,1,0,0,0.666666666666667,0,1,0,0,1,0.333333333333333,0,0,0,0.267857142857143,0,1,1,0,0,0,1,0,0,0
"215",0,0,1,0.117647058823529,0,1,0,0,0,0,0,0,1,0,0.339433092009328,0,0,0,0,0,1,0,0,0.333333333333333,0,0,1,0,0,0.333333333333333,0,0,0,0.125,0,1,1,0,0,0,1,0,0,1
"216",1,0,0,0.470588235294118,0,1,0,0,1,0,0,0,0,0,0.843449925473018,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0.160714285714286,0,1,0,0,0,0,0,1,0,1
"218",0,1,0,0.558823529411765,0,0,0,1,1,0,0,0,0,0,0.687002782020668,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0.660714285714286,0,1,0,1,0,0,1,0,0,0
"219",0,0,1,0.647058823529412,0,0,0,1,0,0,0,0,1,0,0.794951641266564,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.333333333333333,0,1,0,0.482142857142857,0,0,1,0,0.333333333333333,0,0,1,1,0
"220",1,0,0,0.647058823529412,0,1,0,0,0,1,0,0,0,0,0.856957103662848,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.333333333333333,0,1,0,0.125,0,1,1,0,0,0,1,0,0,1
"222",0,0,1,0.0882352941176471,0,1,0,0,0,0,0,0,0,0,0.381076257244917,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0.333333333333333,1,0,0,0.464285714285714,0,1,1,0,0,1,0,0,0,0
"223",0,0,1,0.205882352941176,0,1,0,0,0,1,0,0,0,0,0.536882511960461,0,0,0,0,0,1,0,0,0.666666666666667,0,1,0,0,0,1,0,0,0,0.428571428571429,0,1,1,0,0,0,1,0,0,1
"224",0,0,1,0.117647058823529,0,0,0,1,0,0,0,1,0,0,0.494500135499194,0,0,0,0,0,0,1,0,0.333333333333333,0,1,0,0,0,0.666666666666667,0,0,0,0.535714285714286,0,1,1,0,0,1,0,0,1,0
"225",0,0,0,0.823529411764706,0,0,1,0,0,0,0,0,1,0,0.769427147368231,0,0,0,0,0,0,0,1,0.666666666666667,0,1,0,0,0,1,0,0,1,0.785714285714286,0,1,1,0,0.333333333333333,0,1,0,0,1
"226",1,0,0,0.25,0,0,0,1,0,1,0,0,0,0,0.557233516380335,0,0,1,0,0,0,1,0,0.666666666666667,0,1,0,0,0,0.333333333333333,0,1,0,0.232142857142857,0,1,1,0,0.333333333333333,0,1,0,0,1
"228",1,0,0,0.470588235294118,0,0,0,0,0,0,1,0,0,0,0.633111650252873,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0.410714285714286,0,1,1,0,0,0,1,0,0,1
"230",0,0,0,0.0882352941176471,0,0,0,1,0,0,0,0,0,0,0.331071439120173,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.666666666666667,1,0,0,0.535714285714286,0,1,1,0,0.333333333333333,0,1,0,0,1
"231",0,0,1,0.647058823529412,0,0,0,1,0,0,0,0,0,0,0.860824138968558,0,1,0,0,0,1,0,0,0.333333333333333,0,1,0,0,0,0.333333333333333,0,0,1,0.446428571428571,0,0,0,1,0,0,1,0,0,0
"232",0,0,1,0.0294117647058824,0,1,0,0,0,1,0,0,0,0,0.423266214582717,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.333333333333333,0,0,0,0.25,0,1,1,0,0,0,1,0,0,0
"233",0,0,1,0.382352941176471,0,1,0,0,1,0,0,0,0,0,0.687729005959136,0,0,0,1,0,0,1,0,0.333333333333333,1,0,0,0,0,1,1,0,0,0.0892857142857143,1,0,0,0,0,1,0,0,0,0
"234",0,0,0,0.117647058823529,0,1,0,0,0,0,1,0,0,0,0.248250776446056,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0.666666666666667,0,0,1,0.25,0,1,1,0,0,1,0,0,0,1
"235",1,0,0,0.0588235294117647,0,1,0,0,0,1,0,0,0,0,0.371861068973288,0,0,0,0,0,1,0,0,0.666666666666667,1,0,0,0,0,1,0,0,0,0.0892857142857143,0,1,1,0,0,0,1,0,0,0
"237",1,0,0,0.0735294117647059,0,1,0,0,0,0,0,0,0,0,0.0230095656520066,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0.0535714285714286,0,1,0,0,0,1,0,0,0,0
"238",1,0,0,0.647058823529412,0,1,0,0,0,0,0,0,0,1,0.713768682288849,0,0,0,1,0,0,0,0,0.666666666666667,0,1,0,0,0,1,0,0,1,0.375,0,0,0,1,0,0,0,0,0,1
"239",0,0,1,0.294117647058824,0,1,0,0,0,1,0,0,0,0,0.719320345119831,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0.107142857142857,1,0,1,0,0,0,1,0,0,0
"240",0,1,0,0.294117647058824,0,1,0,0,0,1,0,0,0,0,0.629724631350367,0,0,0,0,1,0,0,0,0.333333333333333,1,0,0,0,0,1,0,1,0,0.125,0,1,1,0,0,0,1,0,0,0
"241",1,0,0,0.117647058823529,0,1,0,0,0,0,0,0,0,0,0.234411624897111,0,0,0,0,0,0,1,0,0.333333333333333,0,0,1,0,0,0.666666666666667,0,1,0,0.107142857142857,0,0,1,0,0,1,0,0,0,0
"242",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.415761127837378,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.333333333333333,0,0,0,0.178571428571429,0,1,1,0,0,1,0,0,1,0
"244",0,0,0,0.117647058823529,0,1,0,0,0,1,0,0,0,0,0.242092008801695,0,0,0,0,0,1,0,0,0.333333333333333,0,1,0,0,1,0.666666666666667,1,0,0,0.339285714285714,0,1,1,0,0,1,0,0,1,0
"245",1,0,0,0.294117647058824,0,1,0,0,0,1,0,0,0,0,0.664356805472015,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0.517857142857143,0,1,1,0,0,1,0,0,0,1
"248",0,0,0,0.161764705882353,0,0,1,0,0,1,0,0,0,0,0.623054407376829,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0.142857142857143,0,1,1,0,0.333333333333333,1,0,0,0,0
"249",1,0,0,0.382352941176471,0,0,0,1,0,0,0,0,0,0,0.658839985334411,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.333333333333333,0,1,0,0.160714285714286,0,1,1,0,0.333333333333333,0,0,1,0,0
"250",0,0,0,0.294117647058824,0,1,0,0,0,0,1,0,0,0,0.476273346838965,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.666666666666667,1,0,0,0.232142857142857,0,1,1,0,0,0,1,0,0,0
"252",0,0,0,0.205882352941176,0,1,0,0,0,1,0,0,0,0,0.549830878296268,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0.333333333333333,0,1,0,0.160714285714286,0,1,1,0,0,0,1,0,0,0
"253",0,0,1,0.205882352941176,0,0,0,1,0,0,0,0,0,0,0.328820105724551,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.666666666666667,0,0,0,0.303571428571429,0,1,1,0,0.333333333333333,0,1,0,0,0
"257",0,1,0,0.470588235294118,0,1,0,0,0,0,1,0,0,0,0.670787957045144,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.333333333333333,0,1,0,0.214285714285714,0,1,1,0,0,0,1,0,0,0
"259",1,0,0,0.0294117647058824,0,1,0,0,0,0,1,0,0,0,0.337697554674273,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0.160714285714286,0,1,1,0,0,0,1,0,1,0
"260",0,0,0,0.294117647058824,0,0,0,1,1,0,0,0,0,0,0.761784505251525,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0.333333333333333,0,0,1,0,1
"261",0,0,1,0.205882352941176,0,0,0,1,0,0,0,1,0,0,0.467219332124334,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0.333333333333333,0,0,0,0.196428571428571,0,1,1,0,0.333333333333333,0,1,0,0,0
"263",0,0,1,0.647058823529412,0,0,0,1,1,0,0,0,0,0,0.892205336268878,1,0,0,0,0,1,0,0,0.333333333333333,1,0,0,0,0,1,0,1,0,0.0892857142857143,0,0,0,0,0.333333333333333,1,0,0,0,0
"264",0,0,0,0.294117647058824,0,0,0,0,0,1,0,0,0,0,0.651104861892425,0,0,0,0,0,0,0,1,0.666666666666667,0,1,0,0,0,1,0,0,1,0.0714285714285714,0,0,0,0,0.333333333333333,0,1,0,1,0
"265",0,0,0,0.0294117647058824,0,0,0,1,0,1,0,0,0,0,0.605903254083476,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.446428571428571,0,1,0,0,0,0,0,1,0,1
"267",0,0,0,0.161764705882353,0,1,0,0,0,0,0,0,0,1,0.378897684652221,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0.333333333333333,0,1,0,0.0892857142857143,0,1,0,0,0,0,1,0,0,0
"268",0,0,0,0.294117647058824,0,1,0,0,0,1,0,0,0,0,0.654419592362374,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0.160714285714286,0,1,1,0,0,0,1,0,0,0
"269",0,0,1,0.117647058823529,0,0,0,1,0,0,0,0,1,0,0.376882571485613,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0.678571428571429,0,1,0,0,0,1,0,0,0,0
"270",1,0,0,0.0882352941176471,0,1,0,0,0,1,0,0,0,0,0.419926509461848,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.333333333333333,0,1,0,0.214285714285714,0,1,1,0,0,1,0,0,0,0
"271",1,0,0,0.294117647058824,0,0,0,1,0,0,0,1,0,0,0.72891014061491,0,0,0,0,1,0,0,0,0.333333333333333,1,0,0,0,0,1,0,0,1,0.0892857142857143,0,1,0,1,0.333333333333333,0,1,0,0,1
"272",0,0,0,0.25,0,1,0,0,0,1,0,0,0,0,0.620228445888516,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0.125,0,1,0,0,0,1,0,0,0,0
"274",1,0,0,0.205882352941176,0,1,0,0,0,0,0,0,1,0,0.669013471011912,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.25,0,0,1,0,0,0,0,1,0,1
"275",0,1,0,0.0882352941176471,0,1,0,0,0,0,0,0,0,0,0.64181157710449,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0.321428571428571,0,1,1,0,0,1,0,0,1,0
"276",0,0,1,0.161764705882353,0,0,0,1,0,0,1,0,0,0,0.41024808110213,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.333333333333333,0,1,0,0.428571428571429,0,1,1,0,0,1,0,0,0,0
"277",1,0,0,0.132352941176471,0,0,0,1,0,0,1,0,0,0,0.293196797871853,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0.0714285714285714,0,1,1,0,0.333333333333333,0,1,0,0,0
"278",1,0,0,0.294117647058824,0,1,0,0,0,0,1,0,0,0,0.630282257383404,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.0714285714285714,0,1,0,0,0,0,0,0,0,0
"279",0,0,1,0.0294117647058824,0,0,1,0,0,0,0,0,1,0,0.451610552308355,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.333333333333333,0,0,0,0.267857142857143,0,1,1,0,0.333333333333333,1,0,0,0,0
"280",0,1,0,0.117647058823529,0,1,0,0,0,1,0,0,0,0,0.412626836143096,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0.25,0,0,1,0,0,0,0,1,0,1
